Mean Score: 109.53, Standard Deviation: 29.39981462526592, Minimum: 62, Maximum: 199, Games: 100
Mean Score: 113.36, Standard Deviation: 25.561502303268487, Minimum: 61, Maximum: 212, Games: 100
Mean Score: 111.01, Standard Deviation: 28.988444249390135, Minimum: 59, Maximum: 235, Games: 100
Mean Score: 107.92, Standard Deviation: 26.412375887072333, Minimum: 52, Maximum: 215, Games: 100
Mean Score: 112.45, Standard Deviation: 27.207122229298694, Minimum: 52, Maximum: 197, Games: 100
Mean Score: 111.3, Standard Deviation: 21.769474040499922, Minimum: 70, Maximum: 169, Games: 100
Mean Score: 114.38, Standard Deviation: 30.45678249585795, Minimum: 46, Maximum: 217, Games: 100
Mean Score: 111.15, Standard Deviation: 22.14153337056853, Minimum: 70, Maximum: 173, Games: 100
Mean Score: 106.47, Standard Deviation: 26.338737631101452, Minimum: 55, Maximum: 187, Games: 100
Mean Score: 107.63, Standard Deviation: 23.608326920813347, Minimum: 60, Maximum: 194, Games: 100
Mean Score: 112.99, Standard Deviation: 27.27764469304489, Minimum: 73, Maximum: 212, Games: 100
Mean Score: 113.8, Standard Deviation: 25.45859383390999, Minimum: 64, Maximum: 227, Games: 100
Mean Score: 108.31, Standard Deviation: 27.4359964280505, Minimum: 55, Maximum: 180, Games: 100
Mean Score: 113.18, Standard Deviation: 27.774585505458045, Minimum: 48, Maximum: 216, Games: 100
Mean Score: 109.77, Standard Deviation: 27.732239361436353, Minimum: 50, Maximum: 212, Games: 100
Mean Score: 112.9, Standard Deviation: 23.935538431378564, Minimum: 68, Maximum: 182, Games: 100
Mean Score: 109.19, Standard Deviation: 25.139886634589264, Minimum: 61, Maximum: 189, Games: 100
Mean Score: 112.74, Standard Deviation: 30.35279888247541, Minimum: 59, Maximum: 226, Games: 100
Mean Score: 109.91, Standard Deviation: 21.80921594189026, Minimum: 58, Maximum: 164, Games: 100
Mean Score: 111.78, Standard Deviation: 28.015203015505705, Minimum: 56, Maximum: 194, Games: 100
Mean Score: 112.9, Standard Deviation: 30.484914301995342, Minimum: 56, Maximum: 202, Games: 100
Mean Score: 112.23, Standard Deviation: 28.15629769696293, Minimum: 59, Maximum: 204, Games: 100
Mean Score: 104.44, Standard Deviation: 23.890299286530507, Minimum: 68, Maximum: 214, Games: 100
Mean Score: 107.56, Standard Deviation: 24.619634440827912, Minimum: 52, Maximum: 180, Games: 100
Mean Score: 111.78, Standard Deviation: 27.310649937341296, Minimum: 56, Maximum: 209, Games: 100
Mean Score: 105.02, Standard Deviation: 26.197320473666764, Minimum: 59, Maximum: 240, Games: 100
Mean Score: 109.6, Standard Deviation: 28.173746644704533, Minimum: 52, Maximum: 245, Games: 100
Mean Score: 112.15, Standard Deviation: 31.961030959592037, Minimum: 63, Maximum: 279, Games: 100
Mean Score: 114.65, Standard Deviation: 27.63308705157641, Minimum: 69, Maximum: 192, Games: 100
Mean Score: 117.09, Standard Deviation: 28.784751171410193, Minimum: 59, Maximum: 196, Games: 100
Mean Score: 109.23, Standard Deviation: 25.843705229707286, Minimum: 60, Maximum: 217, Games: 100
